cycle,state,modeldate,candidate_name,pct_estimate
1992,Colorado,1992-11-03,George Bush,31.915056
1992,Colorado,1992-11-03,H. Ross Perot,19.546951
1992,Connecticut,1992-11-03,Bill Clinton,44.051756
1992,Connecticut,1992-11-03,George Bush,33.683648
1992,Connecticut,1992-11-03,H. Ross Perot,16.067219
1992,Delaware,1992-11-03,Bill Clinton,40.233436
1992,Delaware,1992-11-03,George Bush,32.77675
1992,Delaware,1992-11-03,H. Ross Perot,14.284498
1992,District of Columbia,1992-11-03,Bill Clinton,71.275369
1992,District of Columbia,1992-11-03,George Bush,16.872681
1992,District of Columbia,1992-11-03,H. Ross Perot,7.5857997
1992,Florida,1992-11-03,Bill Clinton,38.39614
1992,Florida,1992-11-03,George Bush,40.316147
1992,Florida,1992-11-03,H. Ross Perot,17.668952
1992,Georgia,1992-11-03,Bill Clinton,38.814284
1992,Georgia,1992-11-03,George Bush,37.187317
1992,Georgia,1992-11-03,H. Ross Perot,16.220288
1992,Hawaii,1992-11-03,Bill Clinton,43.686664
1992,Hawaii,1992-11-03,George Bush,26.362199
1992,Hawaii,1992-11-03,H. Ross Perot,14.846757
1992,Idaho,1992-11-03,Bill Clinton,28.721845
1992,Idaho,1992-11-03,George Bush,37.08333
1992,Idaho,1992-11-03,H. Ross Perot,21.877246
1992,Illinois,1992-11-03,Bill Clinton,46.80532
1992,Illinois,1992-11-03,George Bush,32.766952
1992,Illinois,1992-11-03,H. Ross Perot,10.438511
1992,Indiana,1992-11-03,Bill Clinton,36.793521
1992,Indiana,1992-11-03,George Bush,41.597344
1992,Indiana,1992-11-03,H. Ross Perot,10.942849
1992,Iowa,1992-11-03,Bill Clinton,38.889839
1992,Iowa,1992-11-03,George Bush,34.430556
1992,Iowa,1992-11-03,H. Ross Perot,17.329651
1992,Kansas,1992-11-03,Bill Clinton,36.712598
1992,Kansas,1992-11-03,George Bush,37.137903
1992,Kansas,1992-11-03,H. Ross Perot,14.129456
1992,Kentucky,1992-11-03,Bill Clinton,43.25922
1992,Kentucky,1992-11-03,George Bush,36.885087
1992,Kentucky,1992-11-03,H. Ross Perot,13.469261
1992,Louisiana,1992-11-03,Bill Clinton,38.129305
1992,Louisiana,1992-11-03,George Bush,36.358499
1992,Louisiana,1992-11-03,H. Ross Perot,12.911087
1992,Maine,1992-11-03,Bill Clinton,34.291351
1992,Maine,1992-11-03,George Bush,27.842713
1992,Maine,1992-11-03,H. Ross Perot,26.291988
1992,Maryland,1992-11-03,Bill Clinton,42.98602
1992,Maryland,1992-11-03,George Bush,34.528684
1992,Maryland,1992-11-03,H. Ross Perot,14.392911
1992,Massachusetts,1992-11-03,Bill Clinton,37.029205
1992,Massachusetts,1992-11-03,George Bush,25.335175
1992,Massachusetts,1992-11-03,H. Ross Perot,24.884151
1992,Michigan,1992-11-03,Bill Clinton,39.087293
1992,Michigan,1992-11-03,George Bush,32.258449
1992,Michigan,1992-11-03,H. Ross Perot,18.3994
1992,Minnesota,1992-11-03,Bill Clinton,41.663969
1992,Minnesota,1992-11-03,George Bush,36.151074
1992,Minnesota,1992-11-03,H. Ross Perot,21.171325
1992,Mississippi,1992-11-03,Bill Clinton,37.229225
1992,Mississippi,1992-11-03,George Bush,41.672941
1992,Mississippi,1992-11-03,H. Ross Perot,10.524385
1992,Missouri,1992-11-03,Bill Clinton,42.510403
1992,Missouri,1992-11-03,George Bush,30.249898
1992,Missouri,1992-11-03,H. Ross Perot,14.856359
1992,Montana,1992-11-03,Bill Clinton,33.717977
1992,Montana,1992-11-03,George Bush,32.015153
1992,Montana,1992-11-03,H. Ross Perot,24.23599
1992,National,1992-11-03,Bill Clinton,42.673484
1992,National,1992-11-03,George Bush,35.376987
1992,National,1992-11-03,H. Ross Perot,17.232872
1992,Nebraska,1992-11-03,Bill Clinton,30.607145
1992,Nebraska,1992-11-03,George Bush,40.123201
1992,Nebraska,1992-11-03,H. Ross Perot,18.136323
1992,Nevada,1992-11-03,Bill Clinton,35.293839
1992,Nevada,1992-11-03,George Bush,29.838694
1992,Nevada,1992-11-03,H. Ross Perot,26.291988
1992,New Hampshire,1992-11-03,Bill Clinton,38.195925
1992,New Hampshire,1992-11-03,George Bush,34.411127
1992,New Hampshire,1992-11-03,H. Ross Perot,16.228043
1992,New Jersey,1992-11-03,Bill Clinton,39.305388
1992,New Jersey,1992-11-03,George Bush,31.74694
1992,New Jersey,1992-11-03,H. Ross Perot,13.670466
1992,New Mexico,1992-11-03,Bill Clinton,41.953365
1992,New Mexico,1992-11-03,George Bush,33.80471
1992,New Mexico,1992-11-03,H. Ross Perot,10.131984
1992,New York,1992-11-03,Bill Clinton,48.076968
1992,New York,1992-11-03,George Bush,28.626728
1992,New York,1992-11-03,H. Ross Perot,14.867123
1992,North Carolina,1992-11-03,Bill Clinton,40.319437
1992,North Carolina,1992-11-03,George Bush,37.467438
1992,North Carolina,1992-11-03,H. Ross Perot,13.908775
1992,North Dakota,1992-11-03,Bill Clinton,31.136323
1992,North Dakota,1992-11-03,George Bush,38.807546
1992,North Dakota,1992-11-03,H. Ross Perot,14.760087
1992,Ohio,1992-11-03,Bill Clinton,40.257081
1992,Ohio,1992-11-03,George Bush,38.297151
