year,state,proportion_democrat_president,resident_population,percent_change_resident_population,resident_population_density,resident_population_density_rank,republican_candidate,democratic_candidate,democratic_candidate_normalized,republican_candidate_normalized,pct_dem_in_polls,dem_prop_4_years_prior,dem_prop_8_years_prior,dem_prop_12_years_prior
1984,NEW HAMPSHIRE,0.3106554774559431,920610.0,24.8,102.8,22.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.42543725,0.3293230762715197,0.42543725,0.42543725
1984,NEW JERSEY,0.3947860891850365,7364823.0,2.7,1001.4,2.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.3249697599999999,0.4259085548536872,0.4889933152604929,0.3249697599999999
1984,NEW MEXICO,0.3965040187081179,1302894.0,28.2,10.7,46.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.36962649,0.36962649,0.36962649,0.36962649
1984,NEW YORK,0.470582821297111,17558072.0,-3.7,372.6,8.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.3855188499999999,0.5084486380354196,0.534451946087019,0.3855188499999999
1984,NORTH CAROLINA,0.3797213705011314,5881766.0,15.7,121.0,19.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.33807644,0.4890031737025543,0.5555329249846495,0.33807644
1984,OHIO,0.4052931628093167,10797630.0,1.4,264.3,11.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.39468842,0.4426451498992538,0.5011635459664862,0.39468842
1984,OREGON,0.4389528866066263,2633105.0,25.9,27.4,41.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.384373,0.4444740615642638,0.4991282682307967,0.384373
1984,PENNSYLVANIA,0.4629926852287835,11863895.0,0.6,265.2,10.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.40310944,0.4613836413288336,0.40310944,0.40310944
1984,RHODE ISLAND,0.481702697550747,947154.0,0.0,916.2,4.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.3862248199999999,0.5616605547453524,0.3862248199999999,0.3862248199999999
1984,TEXAS,0.3621369482698658,14229191.0,27.1,54.5,32.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.33363964,0.4283265920618454,0.33363964,0.33363964
1984,UTAH,0.2487997899031825,1461037.0,37.9,17.8,44.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.23614176,0.23614176,0.3501994161740555,0.23614176
1984,VIRGINIA,0.3732431206078015,5346818.0,15.0,135.4,18.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.31,0.4318413947087553,0.31,0.31
1984,WASHINGTON,0.4315364898363371,4132156.0,21.2,62.2,30.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.34142811,0.429046539051112,0.4797970643220483,0.34142811
1984,WEST VIRGINIA,0.4472756567540157,1949644.0,11.8,81.1,27.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.44393791,0.5236978172012975,0.44393791,0.44393791
1984,WISCONSIN,0.4537798429037826,4705767.0,6.5,86.9,26.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.35545034,0.4740969142143971,0.35545034,0.35545034
1988,ALABAMA,0.4025443160191109,3893888.0,13.1,76.9,28.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.36941321,0.3873660464868173,0.4932366169296053,0.36941321
1988,ALASKA,0.378366825657466,401851.0,33.8,0.7,52.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.41120967,0.41120967,0.41120967,0.41120967
1988,ARIZONA,0.3925650846900749,2718215.0,53.5,23.9,42.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.33011637,0.33011637,0.3178791316766491,0.33011637
1988,ARKANSAS,0.4280835728688489,2286435.0,18.9,43.9,37.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.40347879,0.40347879,0.4968029405707653,0.40347879
1988,CALIFORNIA,0.4819268946362411,23667902.0,18.6,151.9,16.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.42883798,0.4177546517780233,0.4053337544079053,0.4908217269318179
1988,COLORADO,0.4604617561850285,2889964.0,30.9,27.9,40.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.41952605,0.356342301643494,0.360696597871354,0.4409245616838536
1988,CONNECTICUT,0.4741884954356701,3107576.0,2.5,641.7,6.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.407113,0.3900083123698196,0.4444280367728735,0.4738998329378652
1988,DELAWARE,0.4375881040413072,594338.0,8.4,305.0,9.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.34832296,0.34832296,0.4873321474982258,0.527301380893124
1988,FLORIDA,0.3874792835414841,9746324.0,43.6,181.8,13.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.35808301,0.3466758678645452,0.4094923705280309,0.35808301
1988,GEORGIA,0.3979638365523965,5463105.0,19.0,95.0,24.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.38949382,0.38949382,0.5766239969245167,0.6693829485931742
1988,HAWAII,0.5480627598015892,964691.0,25.5,150.2,17.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.41675536,0.41675536,0.510840592350869,0.41675536
1988,ILLINOIS,0.4895072300364114,11426518.0,2.8,205.8,12.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.45433824,0.4352674669277925,0.4566033761788903,0.4899716625636061
1988,INDIANA,0.3987400887506799,5490224.0,5.7,153.2,15.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.37372362,0.3792657087831628,0.37372362,0.4615122219230517
1988,IOWA,0.5514848114008251,2913808.0,3.2,52.2,34.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.51348629,0.4627617466997986,0.4293684972879164,0.4948383414684765
1988,KANSAS,0.4327249829781352,2363679.0,5.2,28.9,39.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.3488310899999999,0.3297052288843034,0.3652451056147966,0.4612445923746186
1988,KENTUCKY,0.4414623218821145,3660777.0,13.7,92.7,25.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.4179119699999999,0.3963581761054802,0.4179119699999999,0.4179119699999999
1988,LOUISIANA,0.4480870767605027,4205900.0,15.5,97.3,23.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.39623911,0.39623911,0.4718911401140074,0.39623911
1988,MAINE,0.4422898129653169,1124660.0,13.4,36.5,38.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.42126039,0.42126039,0.4809051656597664,0.4956882110290461
1988,MARYLAND,0.4853556976888299,4216975.0,7.5,434.4,7.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.45944472,0.4724247280785537,0.516191380662185,0.5303541992343639
1988,MASSACHUSETTS,0.5398258893318696,5737037.0,0.8,735.5,5.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.48431455,0.4860166976274062,0.4990932698314367,0.5811462217110593
1988,MICHIGAN,0.4602195003994486,9262078.0,4.4,163.8,14.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.4362605599999999,0.4362605599999999,0.4645358910320158,0.4725622595013001
1988,MINNESOTA,0.5355085992524404,4075970.0,7.1,51.2,35.0,"BUSH, GEORGE H.W.","DUKAKIS, MICHAEL",MICHAEL DUKAKIS,GEORGE BUSH,0.4989779,0.5009089076819495,0.5221361455718679,0.566419819719711
