cycle,state,modeldate,candidate_name,pct_estimate,candidate_name_normalized
1988,Massachusetts,1988-11-08,Michael S. Dukakis,48.431455,MICHAEL DUKAKIS
1988,Michigan,1988-11-08,George Bush,45.863448,GEORGE BUSH
1988,Michigan,1988-11-08,Michael S. Dukakis,43.626056,MICHAEL DUKAKIS
1988,Minnesota,1988-11-08,George Bush,42.254635,GEORGE BUSH
1988,Minnesota,1988-11-08,Michael S. Dukakis,49.89779,MICHAEL DUKAKIS
1988,Mississippi,1988-11-08,George Bush,56.127013,GEORGE BUSH
1988,Mississippi,1988-11-08,Michael S. Dukakis,37.076414,MICHAEL DUKAKIS
1988,Missouri,1988-11-08,George Bush,47.448792,GEORGE BUSH
1988,Missouri,1988-11-08,Michael S. Dukakis,41.91396,MICHAEL DUKAKIS
1988,Montana,1988-11-08,George Bush,45.995016,GEORGE BUSH
1988,Montana,1988-11-08,Michael S. Dukakis,36.983819,MICHAEL DUKAKIS
1988,National,1988-11-08,George Bush,52.292803,GEORGE BUSH
1988,National,1988-11-08,Michael S. Dukakis,41.668574,MICHAEL DUKAKIS
1988,Nebraska,1988-11-08,George Bush,45.570028,GEORGE BUSH
1988,Nebraska,1988-11-08,Michael S. Dukakis,39.5896,MICHAEL DUKAKIS
1988,Nevada,1988-11-08,George Bush,51.150093,GEORGE BUSH
1988,Nevada,1988-11-08,Michael S. Dukakis,33.449524,MICHAEL DUKAKIS
1988,New Hampshire,1988-11-08,George Bush,60.391007,GEORGE BUSH
1988,New Hampshire,1988-11-08,Michael S. Dukakis,32.119257,MICHAEL DUKAKIS
1988,New Jersey,1988-11-08,George Bush,51.303961,GEORGE BUSH
1988,New Jersey,1988-11-08,Michael S. Dukakis,40.924593,MICHAEL DUKAKIS
1988,New Mexico,1988-11-08,George Bush,49.184517,GEORGE BUSH
1988,New Mexico,1988-11-08,Michael S. Dukakis,39.668694,MICHAEL DUKAKIS
1988,New York,1988-11-08,George Bush,45.686668,GEORGE BUSH
1988,New York,1988-11-08,Michael S. Dukakis,45.885133,MICHAEL DUKAKIS
1988,North Carolina,1988-11-08,George Bush,50.290195,GEORGE BUSH
1988,North Carolina,1988-11-08,Michael S. Dukakis,41.989746,MICHAEL DUKAKIS
1988,North Dakota,1988-11-08,George Bush,51.515341,GEORGE BUSH
1988,North Dakota,1988-11-08,Michael S. Dukakis,37.267997,MICHAEL DUKAKIS
1988,Ohio,1988-11-08,George Bush,49.438407,GEORGE BUSH
1988,Ohio,1988-11-08,Michael S. Dukakis,41.268361,MICHAEL DUKAKIS
1988,Oklahoma,1988-11-08,George Bush,55.412845,GEORGE BUSH
1988,Oklahoma,1988-11-08,Michael S. Dukakis,38.603252,MICHAEL DUKAKIS
1988,Oregon,1988-11-08,George Bush,47.40057,GEORGE BUSH
1988,Oregon,1988-11-08,Michael S. Dukakis,48.474516,MICHAEL DUKAKIS
